# Templates from Starburst99
# SEDs of population with constant star formation, age = 100 Myr, nebular emission included 
# IMF: alpha = 2.35, Mlow = 1 Msun, Mupp = 1 Msun
# column 1: lambda in A
# column 2-6: log(Fnu) in erg/s/A, for Z=0.001, 0.004, 0.008, 0.020 and 0.040
# source: Starburst99 website (http://www.stsci.edu/science/starburst99), data corresponding to Figure 2 

5
1221
            0.001       0.004       0.008       0.020       0.040

91.000000   38.546550   38.919530   38.927510   38.735550   38.332130
3310.0000   39.650250	39.625820   39.605260	39.586790   39.557530
3330.0000   39.644650	39.619720   39.598720	39.579730   39.550010
3350.0000   39.637330	39.612070   39.590870	39.571590   39.541810
3370.0000   39.630770	39.605190   39.583970	39.564270   39.534950
3390.0000   39.624560	39.599240   39.578110	39.558720   39.528910
3410.0000   39.618500	39.593810   39.572630	39.553340   39.523240
3430.0000   39.610850	39.586440   39.565000	39.545330   39.514680
3450.0000   39.606220	39.581570   39.559830	39.540110   39.508840
3470.0000   39.602650	39.577750   39.555710	39.535670   39.504250
3490.0000   39.598070	39.573300   39.550930	39.530600   39.498830
3510.0000   39.594220	39.570120   39.547700	39.527210   39.494950
3530.0000   39.589330	39.564680   39.542390	39.521920   39.490040
3550.0000   39.585220	39.561350   39.538910	39.518230   39.485310
3570.0000   39.580400	39.554540   39.531970	39.510510   39.478230
3590.0000   39.574920	39.548750   39.525790	39.503600   39.470340
3610.0000   39.571090	39.545670   39.522190	39.499790   39.465560
3630.0000   39.566570	39.541690   39.518370	39.496060   39.461570
3640.0000   39.564390	39.539740   39.516270	39.493990   39.459620
3650.0000   39.474080	39.461830   39.442410	39.426820   39.398020
3670.0000   39.462490	39.453530   39.435640	39.419180   39.389730
3690.0000   39.459020	39.451070   39.429330	39.404730   39.367240
3710.0000   39.489720	39.478880   39.451150	39.420250   39.373650
3730.0000   39.490420	39.476140   39.448160	39.416900   39.370850
3750.0000   39.534230	39.520650   39.491630	39.460040   39.412530
3770.0000   39.534930	39.522950   39.494530	39.462670   39.413890
3790.0000   39.559070	39.550120   39.523570	39.492210   39.443310
3810.0000   39.583070	39.575330   39.549340	39.517720   39.468360
3830.0000   39.527240	39.515920   39.489230	39.456680   39.408660
3850.0000   39.590550	39.580830   39.555530	39.521910   39.473620
3870.0000   39.597670	39.589590   39.565260	39.530750   39.481850
3890.0000   39.500030	39.491940   39.464410	39.431310   39.379340
3910.0000   39.590130	39.582970   39.556750	39.522850   39.476990
3930.0000   39.580780	39.559510   39.527130	39.492370   39.456560
3950.0000   39.578110	39.568080   39.539400	39.503170   39.459740
3970.0000   39.469900	39.452900   39.420260	39.385560   39.343720
3990.0000   39.565340	39.561740   39.536080	39.500390   39.450490
4010.0000   39.567950	39.567810   39.544690	39.509160   39.457840
4030.0000   39.556590	39.557130   39.534230	39.498120   39.444810
4050.0000   39.558130	39.558030   39.535050	39.499250   39.446760
4070.0000   39.548640	39.547090   39.522950	39.485760   39.430570
4090.0000   39.515850	39.517430   39.493460	39.456680   39.397510
4110.0000   39.456170	39.457860   39.432820	39.398420   39.338100
4130.0000   39.527030	39.527500   39.503770	39.466270   39.408140
4150.0000   39.526040	39.528490   39.506080	39.469340   39.411660
4170.0000   39.521910	39.523830   39.500830	39.464080   39.407830
4190.0000   39.516440	39.519150   39.496810	39.460410   39.404320
4210.0000   39.510370	39.514150   39.491900	39.455550   39.399020
4230.0000   39.504310	39.508080   39.485160	39.447870   39.389860
4250.0000   39.498150	39.502930   39.481140	39.443460   39.385060
4270.0000   39.490780	39.494070   39.471360	39.431920   39.371910
4290.0000   39.484660	39.488400   39.466880	39.428800   39.370520
4310.0000   39.473600	39.474390   39.451420	39.412500   39.355500
4330.0000   39.435700	39.441720   39.418690	39.380470   39.316640
4350.0000   39.394540	39.401680   39.379070	39.341260   39.279150
4370.0000   39.459880	39.468820   39.448480	39.409920   39.348430
4390.0000   39.453180	39.460650   39.439590	39.401120   39.340480
4410.0000   39.452220	39.459860   39.438000	39.399500   39.338750
4430.0000   39.447570	39.457650   39.435950	39.396310   39.335120
4450.0000   39.442720	39.453590   39.432650	39.393650   39.332990
4470.0000   39.429700	39.443260   39.422880	39.383970   39.322200
4490.0000   39.430590	39.444330   39.424130	39.384660   39.322950
4510.0000   39.427720	39.445970   39.427750	39.389060   39.326920
4530.0000   39.420740	39.435210   39.414840	39.374810   39.312480
4550.0000   39.414230	39.429100   39.408780	39.368970   39.307380
